模板ID,名称,品级,描述,装备类型,类型,子类型,占用格子,门派ID,五行,秘籍ID,可奇遇获取,非公开,门派内排序,使用需求,正练效果ID,逆练效果ID,继承造诣加成比例,修习类型,突破盘ID,走火入魔内伤,走火入魔受伤部位,走火入魔伤害值,走火入魔气乱,可获得内力总量,每循环获得内力,循环目标类型,循环转化类型,每循环五行变化,特定格子,通用格子,命中值,闪避值,穿透,穿透抵抗,架势提气恢复,移动速度,破绽恢复,施展速度,封穴恢复,切换武器速度,攻击速度,内功比例,气乱恢复,毒抗,准备总进度,需求身体部位,脚力消耗,提气架势总消耗,基础内功比例,内功比例变化范围,穿透值,施展时额外距离,式消耗,武器耐久消耗,移动力消耗,最适武器ID,固定最佳武器ID,受伤部位攻击比例分布,总命中,每击伤害比例分布,有攻击封穴效果,有攻击破绽效果,毒素,装备破坏几率,增加移动力类型,增加破体特性,施展时增加移动速度,施展时增加移动速度百分比,移动冷却加成,施展时增加命中,脚力减少速度,脚力增加速度,移动消耗脚力,最大跳跃距离,跳跃准备帧,可部分跳跃,跳跃距离变化帧,跳跃距离变化持续,分数加成类型,分数加成,施展时增加外功穿透抵抗,施展时增加内功穿透抵抗,施展时增加闪避,反击伤害,外伤反弹率,内伤反弹率,持续帧,反弹距离,属性加成列表,外伤步骤,内伤步骤,致命伤步骤,心神伤步骤,可能真气策略列表,额外内力分配进度,循环加成技能列表,真气策略生成概率,无效突破加成类型,正练效果,逆练效果
228,净衣辟邪,1,净衣辟邪之法，曰“洁身避害，邪浊不落”，乃是以丹田真气洁净自身，从而驱避邪祟、抵御毒害的法门。,4,绝技,Invalid,1,3,2,372,true,false,14,属性2=30; 属性4=40; 属性5=45; 属性82=150; 属性58=150,126,852,1,0,1,true,"0, 1",1,150,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list3,0,0,70,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,属性28=20; 属性29=20; 属性31=20; 属性30=20; 属性32=20; 属性33=20,"0, 0, 0, 0, 0, 0, 0","40, 40, 20, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 29, 30, 31, 32",降低战斗中敌人对运用者造成的直接毒害,提高战斗中运用者毒发所需要的行为次数，使运用者更难以毒发
229,百草雀啄灸,2,取百草捻为细绒，附于针尾，再将砭针以急远急近、状若雀啄的独特手法施于人体经穴之上，使浊气遇之则消，犹如冰解，即为百草雀啄灸之法。,4,绝技,Invalid,1,3,2,373,true,false,15,属性1=40; 属性2=35; 属性5=55; 属性82=200; 属性58=200,127,853,2,8,2,false,"3, 4",1,200,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list3,0,0,50,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,属性19=20,"25, 25, 15, 0, 0, 0, 0","25, 25, 15, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 29, 30, 31, 32",每当运用者以变招击中敌人时，一定几率使运用者的1个随机部位的伤势标记减少1个,每当运用者以变招击中敌人时，一定几率随机恶化敌人的1个伤势
230,乱针错穴,3,乱针错穴乃百花谷独门用针之法，能以一针取多穴，一气冲数关，可谓乱中取正、险中有生，故非医术精湛者难以施为。,4,绝技,Invalid,2,3,5,374,true,false,16,属性1=45; 属性2=40; 属性5=60; 属性82=250; 属性58=250,128,854,2,8,3,true,"3, 4",2,250,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list3,0,0,60,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,属性11=90,"35, 35, 20, 0, 0, 0, 0","35, 35, 20, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 29, 30, 31, 32",每当运用者解开自身被封闭的穴道时，可额外再解开运用者其它随机部位上的1个穴道,每当运用者封闭敌人身上的穴道时，可额外再封闭敌人其它随机部位上的1个穴道
231,阴阳脉逆转,4,气分清浊，脉有阴阳。阴阳脉逆转之法能在短时间内令运功者气血倒流，化伤祛害，转祸害为福益，而不为气血之颠倒所伤。,3,绝技,Invalid,2,3,2,375,true,false,17,属性2=45; 属性4=45; 属性5=70; 属性82=300; 属性58=300,129,855,3,1,4,true,"0, 1, 2, 3, 4, 5, 6",2,300,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",3000,list3,0,45,100,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"150, 150, 150, 0",150,0,0,600,0,list2,"35, 35, 20, 25, 25, 0, 0","35, 35, 20, 25, 25, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 29, 31, 32",以此功法进行防御时，每当运用者成功对敌人的兵器攻击进行反击，将运用者的1个损害状态变化为增益状态,以此功法进行防御时，每当运用者成功对敌人的兵器攻击进行反击，将敌人的1个增益状态变化为损害状态
232,十二经大挪移,5,世间点穴截脉之法，莫不以固定的经脉流注、营卫运行之势为根基，但十二经大挪移却可在顷刻间变易穴位、转移经脉，令人难以捉摸，莫难施为。,3,绝技,Invalid,2,3,5,376,true,false,18,属性2=50; 属性4=50; 属性5=75; 属性82=350; 属性58=350,130,856,3,0,5,true,"0, 1, 2, 3, 4, 5, 6",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4500,list3,0,45,100,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,135,300,70,list2,"0, 0, 0, 0, 0, 0, 0","110, 110, 70, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 29, 30, 32",以此功法进行防御时，加快运用者解开封穴的速度，敌人对运用者造成封穴时，反而会为运用者解开被封闭的穴道,以此功法进行防御时，加快运用者解开封穴的速度，敌人对运用者造成封穴时，反而会封闭敌人自身的穴道
233,生死八门,6,“以生御死入八门，八门一转阴阳分”。生死八门之法乃是依据奇经之流注、八脉之运转所创，运功者可化逆为顺、转危为安，借由气血冲乱之力疗愈伤势，从而置之死地而后生。,4,绝技,Invalid,3,3,2,377,true,true,19,属性2=55; 属性4=55; 属性5=80; 属性82=400; 属性58=400,131,857,4,1,6,true,0,3,400,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list3,0,0,100,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,属性20=40,"55, 55, 35, 0, 0, 0, 0","55, 55, 35, 0, 0, 0, 0",65,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"19, 29, 30, 31, 32",每当运用者受到敌人的直接伤势标记，随机消除运用者其它伤势标记最多的1个部位的1个伤势,每当敌人受到运用者的直接伤势标记，随机恶化敌人其它伤势标记最多的1个部位的1个伤势
234,血海凝冰术,7,血海者，血气之所源也，其穴在腹。血海凝冰术能将周身之毒引入气海之中，凝结成冰，从而护卫诸脉，使毒不妄行，害不加身。,3,绝技,Invalid,3,3,2,378,true,true,20,属性2=60; 属性4=60; 属性5=85; 属性82=450; 属性58=450,132,858,4,0,7,true,1,3,450,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4500,list3,0,50,100,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,300,300,"0, 0, 0, 0",0,80,80,600,60,list2,"0, 0, 0, 0, 0, 0, 0","160, 160, 120, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 30, 32",以此功法进行防御时：运用者的烈毒、赤毒、腐毒不会发作；运用者能够反震受到的烈毒、赤毒、腐毒；此功法防御结束时，运用者受到的烈毒、赤毒、腐毒越多，就为运用者施加一个效果越强的增加御体的增益状态，随后驱除运用者在此过程中所中的所有烈毒、赤毒、腐毒,以此功法进行防御时：运用者的郁毒、寒毒、幻毒不会发作；运用者能够反震受到的郁毒、寒毒、幻毒；此功法防御结束时，运用者受到的郁毒、寒毒、幻毒越多，就为运用者施加一个效果越强的增加御气的增益状态，随后驱除运用者在此过程中所中的所有郁毒、寒毒、幻毒
235,完璧不破法,8,“五脏之道，以行血气，五气不和，百病乃生”。完璧不破之法能合五血为一血，化五气为一气，此消则彼助，此缺则彼补，浑浑然如一汪洋，无缺无漏，无欠无余。,3,绝技,Invalid,3,3,2,379,true,true,21,属性2=65; 属性4=65; 属性5=90; 属性82=500; 属性58=500,133,859,5,1,8,true,"0, 1, 2, 3, 4, 5, 6",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",6000,list3,0,45,100,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,400,400,"0, 0, 0, 0",0,0,0,600,0,list2,"0, 0, 0, 0, 0, 0, 0","160, 160, 120, 110, 110, 110, 110",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 30, 31, 32",以此功法进行防御时，如果敌人对运用者造成的直接伤势标记的数量不低于运用者被攻击的部位上现有的伤势标记数量，此伤害无效,以此功法进行防御时，如果敌人对运用者造成的直接伤势标记的数量不高于运用者被攻击的部位上现有的伤势标记数量，此伤害无效
236,武当铁布衫,0,武当铁布衫内外兼修，阴阳相得，既有导引吐纳之术，亦有横练外壮之功，讲究意守丹田，随势脱化，化柔为刚，转刚为柔。,3,绝技,Invalid,1,4,3,380,true,false,16,属性2=35; 属性3=25; 属性4=40; 属性82=100; 属性62=100,134,860,1,0,0,true,"0, 1",1,100,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",3000,list3,0,40,50,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,100,100,"0, 0, 0, 0",0,40,40,600,60,list2,"15, 15, 5, 0, 0, 0, 0","15, 15, 5, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 30, 32",以此功法进行防御时：运用者受到的所有直接伤害降低15%；运用者以自身御体与御气的平均值抵挡敌人的攻击,以此功法进行防御时：运用者受到的所有直接伤害降低15%；运用者以敌人的破体与破气的平均值抵挡敌人的攻击
237,三才剑阵,1,天、地、人，谓之三才。三才剑阵形如“品”字，暗合《易经》三生万物之理，守阵者需循位而动，随机而发，前后策应，互为犄角。,4,绝技,Invalid,1,4,5,381,true,false,17,属性1=60; 属性2=55; 属性82=150; 属性62=150,135,861,1,7,1,false,"0, 1, 2, 3, 4, 5, 6",1,150,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list3,0,0,50,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list2,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 17, 29, 30, 31, 32",运用者助战的同道能够更频繁地使用「还护」、「解穴」指令为运用者消除破绽与解开封穴,运用者助战的同道在使用「还护」、「解穴」指令时，能够为运用者消除更多的破绽与解开更多的封穴
238,云床九练,2,所谓：“静中行火候，定里结还丹”。云床九练以精神为药，静定为火，乃是在睡眠之中使人凝神净虑、专气致柔的道家功法。,3,绝技,Invalid,1,4,5,382,true,false,18,属性2=60; 属性4=70; 属性82=200; 属性62=200,136,862,2,0,2,true,"0, 1, 2, 3, 4, 5, 6",1,200,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4500,list3,0,40,60,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"150, 150, 0, 0",100,0,0,600,0,list2,"0, 0, 0, 0, 0, 0, 0","40, 40, 20, 20, 20, 20, 20",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 29, 31",以此功法进行防御时，每当运用者成功对敌人的兵器攻击进行反击，为运用者施加一个提高步伐稳健的增益状态,以此功法进行防御时，每当运用者成功对敌人的兵器攻击进行反击，为运用者施加一个提高引气冲关的增益状态
239,阴阳周天法,3,心神一静一动，谓之阴阳；精气循环往复，谓之周天。所谓：“周天一通，百病不生”。阴阳周天法可导引真气，疏通气血，乃内家观想之基要。,4,绝技,Invalid,2,4,3,383,true,false,19,属性2=65; 属性4=80; 属性82=250; 属性62=250,137,863,2,0,3,true,"0, 1, 2, 3, 4, 5, 6",2,250,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list3,0,0,100,20,0,0,list,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,属性17=90,"0, 0, 0, 0, 0, 0, 0","70, 70, 40, 0, 0, 0, 0",0,0,list3,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 30, 31, 32",如果敌人的内息紊乱高于运用者，根据此功法的内功比例，提高敌人所有功法的内功比例；每当运用者施展的「摧破」功法发挥十成威力，减少运用者的新增紊乱,如果敌人的内息紊乱高于运用者，根据此功法的外功比例，提高敌人所有功法的外功比例；每当运用者施展的「摧破」功法发挥十成威力，增加敌人的内息紊乱
240,五气朝元功,4,五气朝元功乃道家修炼人身五气，成就内丹之法。运功者不视、不听、不言、不闻、不动，以致元神内守、心不逐物，化五气为一，七返九还，而成玉液还丹。,3,绝技,Invalid,2,4,5,384,true,false,20,属性2=70; 属性4=90; 属性82=300; 属性62=300,138,864,3,0,4,true,2,2,300,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",6000,,0,40,100,20,0,0,,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 400",0,0,0,300,0,,"0, 0, 0, 0, 0, 0, 0","90, 90, 50, 0, 0, 0, 0",0,0,,"0, 0, 0, 0, 0",,0,"20, 19, 16, 29, 30, 31",以此功法进行防御时，运用者在战斗中损失的真气会随时间迅速增加而恢复至初始上限,以此功法进行防御时，敌人在战斗中获得的真气会随时间迅速减少而恢复至初始上限
241,真武荡魔阵,5,真武荡魔阵取法天地，阵势严谨，其形合北斗之象，可明分历纪，临制四方，其势浩荡威武，凛不可犯，能使邪魔远遁，浩气远扬。,4,绝技,Invalid,2,4,3,385,true,false,21,属性1=50; 属性2=75; 属性4=50; 属性82=350; 属性62=350,139,865,3,7,5,false,"0, 1, 2, 3, 4, 5, 6",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,,0,0,50,20,0,0,,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,,"0, 0, 0, 0, 0",,0,"20, 19, 16, 17, 29, 30, 31, 32",运用者助战的同道能够更频繁地使用「真气」类指令将自身的真气传输给运用者,运用者助战的同道在使用「真气」类指令时，能够传输更多的真气给运用者
242,无极劲,6,“阴阳，一道也。太极，无极也”。无极劲无有定形，无有定式，其法“柔弱以胜强，安徐以定乱，因循以应变，常后而争先”。,3,绝技,Invalid,3,4,5,386,true,false,22,属性1=55; 属性2=80; 属性4=55; 属性82=400; 属性62=400,140,866,4,8,6,true,"0, 1, 2, 3, 4, 5, 6",3,400,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4500,list,0,50,70,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"400, 400, 0, 0",200,0,0,600,0,list3,"55, 55, 35, 0, 0, 0, 0","55, 55, 35, 0, 0, 0, 0",65,0,list,"0, 0, 0, 0, 0",loopBonusSkillList,0,"19, 29, 31",以此功法进行防御时：只要运用者未被命中要害，即使未能化解敌人的兵器攻击，也能进行反击；每当运用者成功化解敌人的兵器攻击而对敌人进行反击，运用者消除敌人所有的架势，敌人的架势被消除的越多，运用者的反击伤害就提高越多,以此功法进行防御时：只要运用者未被命中要害，即使未能化解敌人的兵器攻击，也能进行反击；每当运用者成功化解敌人的兵器攻击而对敌人进行反击，运用者消除敌人所有的提气，敌人的提气被消除的越多，运用者的反击伤害就提高越多
243,三华聚顶,7,“神、气、精三者，与天地同根，与万物同体，得之者生，失之者死”。修道者经炼精化气、炼气化神、炼神还虚后，三花俱生，三阳齐聚，则称“三华聚顶”，乃成圣明境界。,4,绝技,Invalid,3,4,5,387,true,true,23,属性2=85; 属性4=120; 属性82=450; 属性62=450,141,867,4,1,7,true,2,3,450,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,20,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,属性11=120,"0, 0, 0, 0, 0, 0, 0","130, 130, 90, 0, 0, 0, 0",0,120,list,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 16, 29, 30, 31, 32",运用者的真气均不低于初始值时，此功法的威力持续累积提高，最多提高至此功法原本威力的2倍，否则此功法的威力会减半并停止提高；当此功法的威力不低于100%时，运用者所有功法的威力都会根据此功法的部分威力提高,运用者的真气均不低于初始值时，此功法的威力持续累积提高，最多提高至此功法原本威力的2倍，否则此功法的威力会减半并停止提高；当此功法的威力不低于100%时，敌人所有功法的威力都会根据此功法的部分威力降低
244,九滚十八跌,0,九滚十八跌讲究滚跌相连，顺势而下，修习者需于沙地、山坡向四面八方连续跌扑、翻滚，及至临敌不惧，倒地不伤，则此功可成。,3,绝技,Invalid,1,5,4,388,true,false,9,属性1=25; 属性2=40; 属性3=35; 属性82=100; 属性62=80; 属性63=80,142,868,1,8,0,false,"0, 1, 2, 3, 4, 5, 6",1,100,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",3000,list,0,40,0,15,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"200, 0, 0, 0",100,0,0,300,0,list3,"30, 30, 10, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 29, 31",以此功法进行防御时，每当运用者成功对敌人的兵器攻击进行反击，运用者的脚力就会得到恢复,以此功法进行防御时，每当运用者成功对敌人的兵器攻击进行反击，敌人的脚力就会受到损耗
245,亦刀亦剑,1,亦刀亦剑之法讲究“刀作剑形、剑走刀势”，运使者可融刀之刚猛与剑之灵动为一体，使之相辅相成，变化不定。,4,绝技,Invalid,1,5,5,389,true,false,10,属性0=35; 属性1=30; 属性2=50; 属性82=150; 属性62=120; 属性63=120,143,869,1,8,1,false,"3, 4",1,150,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,30,15,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,属性24=20,"20, 20, 10, 0, 0, 0, 0","20, 20, 10, 0, 0, 0, 0",0,0,list,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 29, 30, 31, 32",当运用者以「刀」施展「剑法」时，「剑法」的威力上限大幅增加；当运用者以「剑」施展「刀法」时，「刀法」的威力上限大幅增加,每当运用者切换的兵器类型不同时，运用者获得该兵器进行3次攻击能获得的变招进度
246,元山七煞阵,2,元山七煞阵之要，在于同心齐力，一往无前，列阵者法度严谨，同进同退，散如星火燎原，聚若宝剑除妖。,4,绝技,Invalid,1,5,4,390,true,false,11,属性0=40; 属性2=60; 属性3=30; 属性82=200; 属性62=160; 属性63=160,144,870,2,7,2,false,"0, 1, 2, 3, 4, 5, 6",1,200,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,0,15,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 17, 29, 30, 31, 32",运用者助战的同道能够更频繁地使用「攻击」指令攻击敌人,运用者助战的同道在使用「攻击」指令时，其攻击时的破体、破气、力道、精妙、迅疾、动心大幅提高
